year,period,threshold_c,valid_days,missing_days,hot_days_lower,hot_days_upper,longest_run_lower,longest_run_upper
2006,2006-2015,30,365,0,33,33,21,21
2007,2006-2015,30,365,0,34,34,13,13
2008,2006-2015,30,366,0,48,48,11,11
2009,2006-2015,30,365,0,22,22,6,6
2010,2006-2015,30,365,0,53,53,10,10
2011,2006-2015,30,365,0,29,29,6,6
2012,2006-2015,30,366,0,39,39,21,21
2013,2006-2015,30,365,0,57,57,25,25
2014,2006-2015,30,365,0,29,29,9,9
2015,2006-2015,30,365,0,28,28,17,17
2016,2016-2025,30,366,0,50,50,33,33
2017,2016-2025,30,365,0,60,60,28,28
2018,2016-2025,30,365,0,53,53,30,30
2019,2016-2025,30,365,0,39,39,14,14
2020,2016-2025,30,366,0,38,38,14,14
2021,2016-2025,30,365,0,45,45,21,21
2022,2016-2025,30,365,0,54,54,11,11
2023,2016-2025,30,365,0,49,49,17,17
2024,2016-2025,30,366,0,78,78,34,34
2025,2016-2025,30,364,1,71,72,20,20
