year,calendar_days,valid_tmax_days,missing_tmax_days,equal_month_tavg,hot_days_lower,hot_days_upper,hot_pct_lower,hot_pct_upper,observed_hot_pct,longest_run_lower,longest_run_upper
2006,243,243,0,14.74653321812596,32,32,13.168724279835391,13.168724279835391,13.168724279835391,21,21
2007,243,243,0,15.37104742703533,30,30,12.345679012345679,12.345679012345679,12.345679012345679,13,13
2008,244,244,0,14.964421579532814,41,41,16.80327868852459,16.80327868852459,16.80327868852459,11,11
2009,243,243,0,15.497942588325653,20,20,8.23045267489712,8.23045267489712,8.23045267489712,6,6
2010,243,243,0,14.960052803379416,42,42,17.28395061728395,17.28395061728395,17.28395061728395,10,10
2011,243,243,0,14.381439132104456,24,24,9.876543209876543,9.876543209876543,9.876543209876543,6,6
2012,244,244,0,15.085182146829812,38,38,15.573770491803279,15.573770491803279,15.573770491803279,21,21
2013,243,243,0,15.388965053763439,51,51,20.98765432098765,20.98765432098765,20.98765432098765,25,25
2014,243,243,0,15.576249039938556,28,28,11.522633744855968,11.522633744855968,11.522633744855968,9,9
2015,243,243,0,15.130394585253455,28,28,11.522633744855968,11.522633744855968,11.522633744855968,17,17
2016,244,244,0,15.47219178717093,49,49,20.081967213114755,20.081967213114755,20.081967213114755,33,33
2017,243,243,0,15.748752880184332,57,57,23.456790123456788,23.456790123456788,23.456790123456788,28,28
2018,243,243,0,15.089931835637483,52,52,21.39917695473251,21.39917695473251,21.39917695473251,30,30
2019,243,243,0,14.978049155145928,33,33,13.580246913580247,13.580246913580247,13.580246913580247,14,14
2020,244,244,0,15.221679180571005,36,36,14.754098360655737,14.754098360655737,14.754098360655737,14,14
2021,243,243,0,15.455781490015362,42,42,17.28395061728395,17.28395061728395,17.28395061728395,21,21
2022,243,243,0,15.32973406298003,49,49,20.16460905349794,20.16460905349794,20.16460905349794,11,11
2023,243,243,0,15.740575076804916,41,41,16.872427983539097,16.872427983539097,16.872427983539097,17,17
2024,244,244,0,16.483048757879125,58,58,23.770491803278688,23.770491803278688,23.770491803278688,34,34
2025,243,242,1,15.707038210445468,58,59,23.868312757201647,24.279835390946502,23.96694214876033,20,20
2026,243,243,0,16.514080261136712,56,56,23.045267489711936,23.045267489711936,23.045267489711936,32,32
