period,year,month,tavg,observed_days
2006-2015,2006,1,3.625806451612903,31
2006-2015,2006,2,3.7178571428571425,28
2006-2015,2006,3,7.906451612903226,31
2006-2015,2006,4,12.860000000000001,30
2006-2015,2006,5,17.45483870967742,31
2006-2015,2006,6,21.326666666666664,30
2006-2015,2006,7,23.700000000000003,31
2006-2015,2006,8,27.38064516129032,31
2006-2015,2006,9,21.043333333333333,30
2006-2015,2006,10,18.616129032258065,31
2006-2015,2006,11,11.486666666666668,30
2006-2015,2006,12,4.896774193548388,31
2006-2015,2007,1,4.02258064516129,31
2006-2015,2007,2,6.632142857142857,28
2006-2015,2007,3,8.745161290322581,31
2006-2015,2007,4,13.223333333333333,30
2006-2015,2007,5,18.46451612903226,31
2006-2015,2007,6,21.5,30
2006-2015,2007,7,23.770967741935483,31
2006-2015,2007,8,26.60967741935484,31
2006-2015,2007,9,22.486666666666668,30
2006-2015,2007,10,17.13225806451613,31
2006-2015,2007,11,10.043333333333333,30
2006-2015,2007,12,5.354838709677419,31
2006-2015,2008,1,2.929032258064516,31
2006-2015,2008,2,2.548275862068966,29
2006-2015,2008,3,8.990322580645161,31
2006-2015,2008,4,14.1,30
2006-2015,2008,5,18.11935483870968,31
2006-2015,2008,6,20.68,30
2006-2015,2008,7,26.529032258064515,31
2006-2015,2008,8,25.81935483870968,31
2006-2015,2008,9,23.19,30
2006-2015,2008,10,18.677419354838708,31
2006-2015,2008,11,10.843333333333334,30
2006-2015,2008,12,5.32258064516129,31
2006-2015,2009,1,2.329032258064516,31
2006-2015,2009,2,7.2821428571428575,28
2006-2015,2009,3,9.451612903225806,31
2006-2015,2009,4,14.520000000000001,30
2006-2015,2009,5,19.13225806451613,31
2006-2015,2009,6,21.923333333333336,30
2006-2015,2009,7,24.016129032258064,31
2006-2015,2009,8,25.32903225806452,31
2006-2015,2009,9,22.613333333333333,30
2006-2015,2009,10,18.029032258064515,31
2006-2015,2009,11,10.546666666666665,30
2006-2015,2009,12,4.461290322580646,31
2006-2015,2010,1,2.193548387096774,31
2006-2015,2010,2,5.132142857142857,28
2006-2015,2010,3,7.858064516129032,31
2006-2015,2010,4,11.376666666666667,30
2006-2015,2010,5,17.687096774193545,31
2006-2015,2010,6,22.32,30
2006-2015,2010,7,25.383870967741935,31
2006-2015,2010,8,27.729032258064517,31
2006-2015,2010,9,23.716666666666665,30
2006-2015,2010,10,17.348387096774193,31
2006-2015,2010,11,9.79,30
2006-2015,2010,12,3.9612903225806453,31
2006-2015,2011,1,-1.1,31
2006-2015,2011,2,5.017857142857143,28
2006-2015,2011,3,7.103225806451612,31
2006-2015,2011,4,12.94,30
2006-2015,2011,5,17.93548387096774,31
2006-2015,2011,6,21.903333333333332,30
2006-2015,2011,7,25.55806451612903,31
2006-2015,2011,8,25.693548387096776,31
2006-2015,2011,9,22.96333333333333,30
2006-2015,2011,10,16.516129032258064,31
2006-2015,2011,11,13.09,30
2006-2015,2011,12,3.832258064516129,31
2006-2015,2012,1,2.2419354838709675,31
2006-2015,2012,2,2.127586206896552,29
2006-2015,2012,3,7.916129032258064,31
2006-2015,2012,4,14.023333333333333,30
2006-2015,2012,5,19.051612903225806,31
2006-2015,2012,6,21.846666666666668,30
2006-2015,2012,7,25.95483870967742,31
2006-2015,2012,8,27.519354838709678,31
2006-2015,2012,9,21.91,30
2006-2015,2012,10,16.812903225806455,31
2006-2015,2012,11,9.386666666666667,30
2006-2015,2012,12,1.6612903225806452,31
2006-2015,2013,1,1.335483870967742,31
2006-2015,2013,2,3.6,28
2006-2015,2013,3,9.603225806451613,31
2006-2015,2013,4,12.5,30
2006-2015,2013,5,18.716129032258067,31
2006-2015,2013,6,22.363333333333333,30
2006-2015,2013,7,26.961290322580645,31
2006-2015,2013,8,28.032258064516128,31
2006-2015,2013,9,23.326666666666664,30
2006-2015,2013,10,18.27741935483871,31
2006-2015,2013,11,10.0,30
2006-2015,2013,12,4.693548387096774,31
2006-2015,2014,1,3.9612903225806453,31
2006-2015,2014,2,5.382142857142857,28
2006-2015,2014,3,9.603225806451613,31
2006-2015,2014,4,14.503333333333332,30
2006-2015,2014,5,19.416129032258063,31
2006-2015,2014,6,21.959999999999997,30
2006-2015,2014,7,25.161290322580644,31
2006-2015,2014,8,24.62258064516129,31
2006-2015,2014,9,22.276666666666664,30
2006-2015,2014,10,17.248387096774195,31
2006-2015,2014,11,11.566666666666666,30
2006-2015,2014,12,2.893548387096774,31
2006-2015,2015,1,3.596774193548387,31
2006-2015,2015,2,4.639285714285714,28
2006-2015,2015,3,8.864516129032259,31
2006-2015,2015,4,13.893333333333334,30
2006-2015,2015,5,19.335483870967742,31
2006-2015,2015,6,21.226666666666667,30
2006-2015,2015,7,24.09032258064516,31
2006-2015,2015,8,25.396774193548385,31
2006-2015,2015,9,20.916666666666668,30
2006-2015,2015,10,16.40967741935484,31
2006-2015,2015,11,11.79,30
2006-2015,2015,12,5.487096774193549,31
2016-2025,2016,1,0.6225806451612903,31
2016-2025,2016,2,4.103448275862069,29
2016-2025,2016,3,8.922580645161291,31
2016-2025,2016,4,14.656666666666666,30
2016-2025,2016,5,19.37741935483871,31
2016-2025,2016,6,22.540000000000003,30
2016-2025,2016,7,26.274193548387096,31
2016-2025,2016,8,27.280645161290323,31
