period,year,month,hot_days_lower,hot_days_upper
2006-2015,2006,1,0,0
2006-2015,2006,2,0,0
2006-2015,2006,3,0,0
2006-2015,2006,4,0,0
2006-2015,2006,5,0,0
2006-2015,2006,6,1,1
2006-2015,2006,7,7,7
2006-2015,2006,8,24,24
2006-2015,2006,9,1,1
2006-2015,2006,10,0,0
2006-2015,2006,11,0,0
2006-2015,2006,12,0,0
2006-2015,2007,1,0,0
2006-2015,2007,2,0,0
2006-2015,2007,3,0,0
2006-2015,2007,4,0,0
2006-2015,2007,5,2,2
2006-2015,2007,6,1,1
2006-2015,2007,7,8,8
2006-2015,2007,8,19,19
2006-2015,2007,9,4,4
2006-2015,2007,10,0,0
2006-2015,2007,11,0,0
2006-2015,2007,12,0,0
2006-2015,2008,1,0,0
2006-2015,2008,2,0,0
2006-2015,2008,3,0,0
2006-2015,2008,4,0,0
2006-2015,2008,5,2,2
2006-2015,2008,6,1,1
2006-2015,2008,7,20,20
2006-2015,2008,8,18,18
2006-2015,2008,9,7,7
2006-2015,2008,10,0,0
2006-2015,2008,11,0,0
2006-2015,2008,12,0,0
2006-2015,2009,1,0,0
2006-2015,2009,2,0,0
2006-2015,2009,3,0,0
2006-2015,2009,4,0,0
2006-2015,2009,5,1,1
2006-2015,2009,6,3,3
2006-2015,2009,7,5,5
2006-2015,2009,8,11,11
2006-2015,2009,9,2,2
2006-2015,2009,10,0,0
2006-2015,2009,11,0,0
2006-2015,2009,12,0,0
2006-2015,2010,1,0,0
2006-2015,2010,2,0,0
2006-2015,2010,3,0,0
2006-2015,2010,4,0,0
2006-2015,2010,5,0,0
2006-2015,2010,6,2,2
2006-2015,2010,7,16,16
2006-2015,2010,8,24,24
2006-2015,2010,9,11,11
2006-2015,2010,10,0,0
2006-2015,2010,11,0,0
2006-2015,2010,12,0,0
2006-2015,2011,1,0,0
2006-2015,2011,2,0,0
2006-2015,2011,3,0,0
2006-2015,2011,4,0,0
2006-2015,2011,5,0,0
2006-2015,2011,6,1,1
2006-2015,2011,7,12,12
