month,2006-2015_lower,2006-2015_upper,2016-2025_lower,2016-2025_upper,difference_lower,difference_upper
1,0.0,0.0,0.0,0.1,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,1.1,1.1,1.5,1.5,0.3999999999999999,0.3999999999999999
6,1.8,1.8,5.3,5.3,3.5,3.5
7,12.5,12.5,17.6,17.6,5.100000000000001,5.100000000000001
8,18.0,18.0,23.1,23.1,5.100000000000001,5.100000000000001
9,3.8,3.8,6.0,6.0,2.2,2.2
10,0.0,0.0,0.2,0.2,0.2,0.2
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
