year,period,threshold_c,valid_days,missing_days,hot_days_lower,hot_days_upper,longest_run_lower,longest_run_upper
2006,2006-2015,28,365,0,54,54,23,23
2007,2006-2015,28,365,0,60,60,15,15
2008,2006-2015,28,366,0,77,77,21,21
2009,2006-2015,28,365,0,63,63,8,8
2010,2006-2015,28,365,0,77,77,21,21
2011,2006-2015,28,365,0,60,60,16,16
2012,2006-2015,28,366,0,64,64,33,33
2013,2006-2015,28,365,0,89,89,47,47
2014,2006-2015,28,365,0,58,58,10,10
2015,2006-2015,28,365,0,52,52,18,18
2016,2016-2025,28,366,0,80,80,42,42
2017,2016-2025,28,365,0,100,100,39,39
2018,2016-2025,28,365,0,72,72,47,47
2019,2016-2025,28,365,0,76,76,28,28
2020,2016-2025,28,366,0,64,64,27,27
2021,2016-2025,28,365,0,79,79,37,37
2022,2016-2025,28,365,0,90,90,16,16
2023,2016-2025,28,365,0,76,76,17,17
2024,2016-2025,28,366,0,107,107,66,66
2025,2016-2025,28,364,1,100,101,27,27
2006,2006-2015,30,365,0,33,33,21,21
2007,2006-2015,30,365,0,34,34,13,13
2008,2006-2015,30,366,0,48,48,11,11
2009,2006-2015,30,365,0,22,22,6,6
2010,2006-2015,30,365,0,53,53,10,10
2011,2006-2015,30,365,0,29,29,6,6
2012,2006-2015,30,366,0,39,39,21,21
2013,2006-2015,30,365,0,57,57,25,25
2014,2006-2015,30,365,0,29,29,9,9
2015,2006-2015,30,365,0,28,28,17,17
2016,2016-2025,30,366,0,50,50,33,33
2017,2016-2025,30,365,0,60,60,28,28
2018,2016-2025,30,365,0,53,53,30,30
2019,2016-2025,30,365,0,39,39,14,14
2020,2016-2025,30,366,0,38,38,14,14
2021,2016-2025,30,365,0,45,45,21,21
2022,2016-2025,30,365,0,54,54,11,11
2023,2016-2025,30,365,0,49,49,17,17
2024,2016-2025,30,366,0,78,78,34,34
2025,2016-2025,30,364,1,71,72,20,20
2006,2006-2015,33,365,0,12,12,8,8
2007,2006-2015,33,365,0,10,10,4,4
2008,2006-2015,33,366,0,6,6,2,2
2009,2006-2015,33,365,0,1,1,1,1
2010,2006-2015,33,365,0,7,7,4,4
2011,2006-2015,33,365,0,2,2,1,1
2012,2006-2015,33,366,0,16,16,8,8
2013,2006-2015,33,365,0,22,22,17,17
2014,2006-2015,33,365,0,6,6,2,2
2015,2006-2015,33,365,0,12,12,6,6
2016,2016-2025,33,366,0,28,28,10,10
2017,2016-2025,33,365,0,20,20,6,6
2018,2016-2025,33,365,0,36,36,29,29
2019,2016-2025,33,365,0,9,9,4,4
2020,2016-2025,33,366,0,8,8,6,6
2021,2016-2025,33,365,0,13,13,4,4
2022,2016-2025,33,365,0,12,12,4,4
2023,2016-2025,33,365,0,17,17,13,13
2024,2016-2025,33,366,0,45,45,23,23
2025,2016-2025,33,364,1,39,40,13,13
