지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C)
155,창원,2006-01-01,4.6,-.4,9.9
155,창원,2006-01-02,5,2.3,8.7
155,창원,2006-01-03,2.8,0,7.4
155,창원,2006-01-04,1,-1.5,2.8
155,창원,2006-01-05,-1.7,-4.8,1.8
155,창원,2006-01-06,-2.6,-4.6,1.3
155,창원,2006-01-07,-2.4,-6.1,1.7
155,창원,2006-01-08,-.1,-4,5.1
155,창원,2006-01-09,1.6,-1.9,7
155,창원,2006-01-10,2.8,-2.1,8.5
155,창원,2006-01-11,2.9,-.6,7.6
155,창원,2006-01-12,4.8,-1,9.8
155,창원,2006-01-13,6.7,4.4,8.6
155,창원,2006-01-14,7.6,6,8.6
155,창원,2006-01-15,5.3,3.1,8.7
155,창원,2006-01-16,4.1,1.7,5.6
155,창원,2006-01-17,5.8,1.7,8.8
155,창원,2006-01-18,6.5,4.8,10
155,창원,2006-01-19,5.1,3.7,7.1
155,창원,2006-01-20,4.8,2.2,7.8
155,창원,2006-01-21,4.2,1.2,8.5
155,창원,2006-01-22,3,-.9,8.2
155,창원,2006-01-23,.8,-3.5,6.5
155,창원,2006-01-24,1.6,-1.8,7.3
155,창원,2006-01-25,3.4,-1.1,7.6
155,창원,2006-01-26,4.1,.3,9.4
155,창원,2006-01-27,3.8,.3,8.6
155,창원,2006-01-28,4.1,-.6,9.4
155,창원,2006-01-29,6.8,1.7,10.7
155,창원,2006-01-30,8.6,5,11.5
155,창원,2006-01-31,7.4,6.4,9.9
155,창원,2006-02-01,5.6,1.4,10.6
155,창원,2006-02-02,3.3,.6,7.6
155,창원,2006-02-03,-2.5,-6.9,2.5
155,창원,2006-02-04,-3.7,-8.8,1.4
155,창원,2006-02-05,-1,-6.3,4
155,창원,2006-02-06,.1,-1.9,2.8
155,창원,2006-02-07,2.8,.4,5.7
155,창원,2006-02-08,-1.5,-4.6,1.5
155,창원,2006-02-09,-1.8,-6,3.5
155,창원,2006-02-10,1.8,-4.2,7.9
155,창원,2006-02-11,3.7,-1.5,10.2
155,창원,2006-02-12,2.2,-1.3,8
155,창원,2006-02-13,6.3,-2.2,12.2
155,창원,2006-02-14,12.1,8.9,16.2
155,창원,2006-02-15,7,4.7,10.1
155,창원,2006-02-16,6.3,3.4,10.6
155,창원,2006-02-17,.2,-2.3,3.4
155,창원,2006-02-18,1.4,-2.6,6.2
155,창원,2006-02-19,4.2,.4,9.8
155,창원,2006-02-20,6.8,1.3,12.7
155,창원,2006-02-21,7.9,2.9,13.8
155,창원,2006-02-22,6.3,4.7,8.2
155,창원,2006-02-23,6,1.4,12.2
155,창원,2006-02-24,7.6,4.5,12.7
155,창원,2006-02-25,6.6,2.6,11.3
155,창원,2006-02-26,8.4,2.8,14.5
155,창원,2006-02-27,4.2,-.7,10.2
155,창원,2006-02-28,3.8,1.9,6.5
155,창원,2006-03-01,3.2,1.2,6.2
155,창원,2006-03-02,2.9,.3,6.6
155,창원,2006-03-03,2.7,-1.5,7.9
155,창원,2006-03-04,5,-.8,9.7
155,창원,2006-03-05,10,3.5,14.8
155,창원,2006-03-06,11.3,7.9,15.8
155,창원,2006-03-07,11,6.8,16.3
155,창원,2006-03-08,10.5,6.8,16
155,창원,2006-03-09,9.7,6.9,12.8
155,창원,2006-03-10,10.3,5.1,17.3
155,창원,2006-03-11,11.6,7.2,16.6
155,창원,2006-03-12,2.6,-3.9,10.2
155,창원,2006-03-13,.1,-5.8,6.6
155,창원,2006-03-14,3.9,-.8,9.3
155,창원,2006-03-15,7.5,.6,13.1
155,창원,2006-03-16,5.3,2.6,8.7
155,창원,2006-03-17,9.6,3.6,16.5
155,창원,2006-03-18,9.4,8,10.9
155,창원,2006-03-19,7.5,3.7,12.5
155,창원,2006-03-20,7.8,1.5,14.6
155,창원,2006-03-21,10.5,5.6,15.8
155,창원,2006-03-22,11,7.5,16.8
155,창원,2006-03-23,10.5,7.9,16.5
155,창원,2006-03-24,8.4,3.1,14.2
155,창원,2006-03-25,10.8,4.1,17.8
155,창원,2006-03-26,11.6,7.7,16.6
155,창원,2006-03-27,10.8,5.7,16.7
155,창원,2006-03-28,5.8,1.7,10.4
155,창원,2006-03-29,6.4,-.7,13.1
155,창원,2006-03-30,9,5.2,14.3
155,창원,2006-03-31,8.4,2.9,13.8
155,창원,2006-04-01,11.9,8.3,13.7
155,창원,2006-04-02,13.2,8,17.2
155,창원,2006-04-03,13.4,5.6,20.9
155,창원,2006-04-04,11.3,9.9,13.6
155,창원,2006-04-05,11.7,9.8,15.9
155,창원,2006-04-06,10.8,8.6,14.2
155,창원,2006-04-07,12.9,6.6,18.5
155,창원,2006-04-08,15.2,11.6,21.9
155,창원,2006-04-09,12.6,9.7,16.7
155,창원,2006-04-10,13.4,11.5,14.4
155,창원,2006-04-11,13.6,12.2,14.7
155,창원,2006-04-12,14.5,10.8,20.1
155,창원,2006-04-13,10.1,8.2,12.5
155,창원,2006-04-14,10.4,6.1,16.3
155,창원,2006-04-15,10,6.9,14.5
155,창원,2006-04-16,11.3,7,16.9
155,창원,2006-04-17,12,6.1,18.2
155,창원,2006-04-18,16,10.8,19.7
155,창원,2006-04-19,13.6,7,16.6
155,창원,2006-04-20,10.1,5.9,13.9
155,창원,2006-04-21,12.4,6.6,18.7
155,창원,2006-04-22,11.3,9.2,13.3
155,창원,2006-04-23,13.8,8.1,20.6
155,창원,2006-04-24,13.7,6.8,19.8
155,창원,2006-04-25,13.6,7.7,19.5
155,창원,2006-04-26,13.3,10.8,16.6
155,창원,2006-04-27,14.2,9.3,19.3
155,창원,2006-04-28,14.9,9.6,20.7
155,창원,2006-04-29,13.3,10.1,16.8
155,창원,2006-04-30,17.3,11.7,23.7
155,창원,2006-05-01,17.9,14,23.7
155,창원,2006-05-02,15.9,11.5,20.6
155,창원,2006-05-03,12.6,9.2,18.3
155,창원,2006-05-04,16.3,9.4,23.1
155,창원,2006-05-05,19,16,22.9
155,창원,2006-05-06,17.2,16.1,18.9
155,창원,2006-05-07,16.4,14.3,20.3
155,창원,2006-05-08,17.5,14.2,21.4
155,창원,2006-05-09,16.2,12.5,20.7
155,창원,2006-05-10,17.1,14.1,20.7
155,창원,2006-05-11,16.5,12.5,20.8
155,창원,2006-05-12,15.4,11.1,20.7
155,창원,2006-05-13,15.8,9.3,22.4
